Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho	pi[1]	pi[2]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	r[7]	r[8]	rate_01	rate_10
120	0	-45.2579	-49.8436	4.58571	0.9234268	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6497681	2.525357
121	1	-42.22	-48.9381	6.71803	0.4635479	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.433497	0.7512651
122	0	-42.9478	-49.373	6.42526	0.8199316	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.084336	0.02471789
123	1	-42.6893	-48.7853	6.09603	0.556835	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.769923	0.04406232
124	0	-43.7721	-49.5781	5.80607	0.3529805	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.020912	1.380751
125	1	-42.6914	-49.6869	6.99551	0.3413236	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4792216	0.5207798
126	0	-43.5357	-49.4979	5.96227	0.8495452	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.3378324	1.286979
127	1	-45.3689	-49.9619	4.59297	0.3157389	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.303433	2.586253
128	0	-46.3671	-49.2501	2.88303	0.7884586	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.228248	3.133835
129	1	-45.799	-51.4388	5.63974	0.2268754	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.258482	0.4912067
130	0	-41.8787	-49.1673	7.28856	0.4105261	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.04512085	0.5237633
131	1	-45.0543	-50.379	5.32472	0.284303	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.233281	0.8229688
132	0	-42.2203	-48.8214	6.60102	0.6244121	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6901521	0.4424248
133	1	-43.334	-49.8545	6.52048	0.325162	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.093407	0.491157
134	0	-44.8578	-50.4199	5.56203	0.2815767	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.6086723	2.168404
135	1	-44.1597	-49.4938	5.33414	0.8486022	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	1.895173	0.4782905
136	0	-44.2232	-48.7952	4.572	0.598061	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.913434	0.6652184
137	1	-41.3516	-48.8735	7.52188	0.4868193	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.1150663	0.08535499
138	0	-43.9213	-48.9242	5.00287	0.6817401	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	2.646969	0.3193194
139	1	-47.1893	-51.3186	4.12929	1.180958	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7682231	2.643594
140	0	-42.9993	-48.9651	5.9658	0.455529	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.789392	1.300135
141	1	-46.8199	-50.1982	3.37828	0.2970518	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4772548	4.880256
142	0	-43.5675	-49.2078	5.6403	0.7769206	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.7387959	1.35562
143	1	-43.2013	-48.8495	5.64818	0.6437889	0.25	0.75	0.0625	0.0625	0.1875	0.1875	0.1875	0.1875	0.0625	0.0625	0.4239855	1.819492
