Iteration	Posterior	Likelihood	Prior	cw	lb	to
344	-32.474	-32.1496	-0.324432	0.06153449	0.1582909	0.1046066
345	-33.1054	-32.7775	-0.327855	0.06461421	0.1903759	0.07286461
346	-31.4729	-31.1923	-0.280627	0.06461421	0.07592716	0.140086
347	-32.5138	-32.0917	-0.42211	0.06461421	0.07743671	0.2800592
348	-34.1881	-33.5231	-0.664986	0.06461421	0.06702594	0.533346
349	-32.0829	-31.7204	-0.362519	0.06461421	0.07019413	0.2277106
350	-31.5224	-31.1071	-0.415325	0.09790259	0.08971199	0.2277106
351	-31.6749	-31.0729	-0.601972	0.1671461	0.2071156	0.2277106
352	-30.8349	-30.2465	-0.588401	0.2956364	0.06505425	0.2277106
353	-31.1461	-30.2776	-0.868447	0.3719299	0.09767314	0.3988435
354	-31.382	-30.5179	-0.864091	0.4915922	0.05278621	0.3197123
355	-30.9836	-30.2593	-0.724331	0.3082801	0.09120039	0.324851
356	-32.4272	-31.1592	-1.26804	0.3082801	0.1592651	0.8004979
357	-32.506	-31.3698	-1.13623	0.2651036	0.4144146	0.4567106
358	-34.7557	-33.1677	-1.58798	0.2742163	0.9763754	0.3373865
359	-34.4304	-32.7157	-1.71473	0.2742163	0.94235	0.4981626
360	-32.0367	-31.1624	-0.874331	0.2197045	0.2896256	0.3650006
361	-31.8469	-30.7985	-1.04839	0.342522	0.323761	0.3821068
362	-31.067	-30.282	-0.785011	0.3429832	0.1412198	0.3008082
363	-31.8177	-30.5861	-1.23169	0.411389	0.1412198	0.6790821
364	-31.7777	-30.4146	-1.36314	0.4903944	0.1936627	0.6790821
365	-31.9593	-31.0059	-0.953377	0.2643355	0.3083676	0.3806736
366	-31.3906	-30.7091	-0.681529	0.2643355	0.2007862	0.2164078
367	-30.9026	-30.3009	-0.601726	0.240541	0.1026691	0.2585158
368	-31.2982	-30.2728	-1.0254	0.4654921	0.1026691	0.4572342
369	-33.732	-32.8003	-0.931755	0.620624	0.1926941	0.1184366
370	-30.7532	-30.2257	-0.527552	0.2483697	0.07289227	0.2062904
371	-31.452	-30.5203	-0.931652	0.5524842	0.1016171	0.2775502
372	-31.4145	-30.6026	-0.811877	0.3120081	0.2223181	0.2775502
373	-32.4124	-30.9078	-1.50459	0.9271553	0.2223181	0.3551184
